item_name,item_price,item_year,item_miles,item_make,item_location
2017 Polaris,"$19,400.00 ",Year: 2017,"Miles: 3,700",Make: Polaris,
2014 Harley-Davidson Street,"$10,999.00 ",Year: 2014,"Miles: 8,550",Make: Harley-Davidson,
1975 Honda CT,"$1,500.00 ",Year: 1975,"Miles: 6,931",Make: Honda,
1980 Harley-Davidson FXEF,"$6,789.99 ",Year: 1980,"Miles: 16,626",Make: Harley-Davidson,
1952 Harley-Davidson FL,"$23,456.78 ",Year: 1952,Miles: 500,Make: Harley-Davidson,
2021 Honda CT,"$12,450.00 ",Year: 2021,"Miles: 4,652",Make: Honda,
2005 Harley-Davidson Touring,"$6,995.00 ",Year: 2005,"Miles: 25,342",Make: Harley-Davidson,
2006 Triumph Rocket III,"$2,500.00 ",Year: 2006,"Miles: 26,587",Make: Triumph,
2018 BMW K-Series,"$14,801.00 ",Year: 2018,"Miles: 9,790",Make: BMW,
1970 Suzuki ts90,"$2,600.00 ",Year: 1970,"Miles: 2,080",Make: Suzuki,
2011 Harley-Davidson Sportster,"$6,000.00 ",Year: 2011,"Miles: 9,793",Make: Harley-Davidson,
2002 Yamaha Road Star,"$3,000.00 ",Year: 2002,"Miles: 22,891",Make: Yamaha,
1953 Harley-Davidson Sportster,$878.66 ,Year: 1953,"Miles: 999,999",Make: Harley-Davidson,
1978 Honda XR,"$5,600.00 ",Year: 1978,Miles: 0,Make: Honda,
2008 Honda Gold Wing,"$5,200.00 ",Year: 2008,"Miles: 80,000",Make: Honda,
1978 Honda CB,"$1,385.00 ",Year: 1978,"Miles: 3,600",Make: Honda,
2014 Victory,"$11,950.00 ",Year: 2014,"Miles: 9,300",Make: Victory,
2000 Harley-Davidson Street,"$4,716.66 ",Year: 2000,"Miles: 16,016",Make: Harley-Davidson,
1974 Suzuki GT,"$5,200.00 ",Year: 1974,"Miles: 13,168",Make: Suzuki,
1984 Honda XL250R,"$5,500.00 ",Year: 1984,"Miles: 8,331",Make: Honda,
1972 Honda CT,"$4,100.00 ",Year: 1972,"Miles: 2,272",Make: Honda,
2006 Honda Other,"$4,000.00 ",Year: 2006,Miles: 777,Make: Honda,
1975 Honda CR,"$6,250.00 ",Year: 1975,Miles: 300,Make: Honda,
1977 Honda CT,"$2,875.00 ",Year: 1977,"Miles: 4,481",Make: Honda,
1971 Norton 750 Roadster,"$9,500.00 ",Year: 1971,Miles: 500,Make: Norton,
2006 Yamaha V Max,"$4,716.00 ",Year: 2006,"Miles: 8,900",Make: Yamaha,
1978 Honda CB,"$4,400.00 ",Year: 1978,"Miles: 8,855",Make: Honda,
1979 Other Makes,"$3,351.00 ",Year: 1979,"Miles: 1,234",Make: Other Makes,
1964 Harley-Davidson FLH,"$17,900.00 ",Year: 1964,"Miles: 13,900",Make: Harley-Davidson,
1972 Yamaha Other,$822.00 ,Year: 1972,"Miles: 5,000",Make: Yamaha,
1970 Honda CB,"$1,825.00 ",Year: 1970,"Miles: 22,893",Make: Honda,
1996 Kawasaki Ninja,"$1,565.00 ",Year: 1996,"Miles: 16,600",Make: Kawasaki,
Bultaco: Metralla,$35.05 ,Year: 1978,Miles: 0,Make: Bultaco,from Canada
2019 Harley-Davidson Sportster,"$8,100.00 ",Year: 2019,"Miles: 2,335",Make: Harley-Davidson,
2021 Harley-Davidson Touring,"$19,995.00 ",Year: 2021,Miles: 536,Make: Harley-Davidson,
1979 Yamaha YZ,"$6,500.00 ",Year: 1979,Miles: 0,Make: Yamaha,
2019 Polaris Slingshot,"$19,200.00 ",Year: 2019,Miles: 576,Make: Polaris,
1982 Yamaha TT,$570.00 ,Year: 1982,Miles: 481,Make: Yamaha,
2020 Honda CRF,"$4,500.00 ",Year: 2020,Miles: 22,Make: Honda,
2022 BMW R-Series,"$22,500.00 ",Year: 2022,"Miles: 1,650",Make: BMW,
2008 Harley-Davidson Sportster,"$4,650.00 ",Year: 2008,"Miles: 20,000",Make: Harley-Davidson,
1987 Honda vf700 super magna,"$1,225.00 ",Year: 1987,"Miles: 28,000",Make: Honda,
2006 Harley-Davidson Dyna,"$7,000.00 ",Year: 2006,"Miles: 27,896",Make: Harley-Davidson,
1966 Honda CA,"$3,995.00 ",Year: 1966,"Miles: 9,873",Make: Honda,
2005 Harley-Davidson Sportster,"$3,700.00 ",Year: 2005,Miles: 867,Make: Harley-Davidson,
2001 Harley-Davidson Dyna,"$13,500.00 ",Year: 2001,"Miles: 52,500",Make: Harley-Davidson,
1967 Honda CL,"$3,500.00 ",Year: 1967,"Miles: 12,467",Make: Honda,
2012 Suzuki Burgman 650 executive,"$4,923.00 ",Year: 2012,"Miles: 5,900",Make: Suzuki,
2007 Suzuki Hayabusa,"$6,800.00 ",Year: 2007,"Miles: 3,500",Make: Suzuki,
1959 Other Makes,"$10,500.00 ",Year: 1959,"Miles: 1,000,000",Make: Other Makes,
